id,movie_id,person_id,role,character_name
605,68728,150673,Actor,Strongman
606,68728,99932,Actor,Strong Man's Wife
607,68728,1157664,Actor,Firebreather
608,68728,7623,Director,
609,102382,37625,Actor,Peter Parker / Spider-Man
610,102382,54693,Actor,Gwen Stacy
611,102382,134,Actor,Max Dillon / Electro
612,102382,122889,Actor,Harry Osborn / Green Goblin
613,102382,55152,Actor,Richard Parker
614,102382,6368,Actor,Mary Parker
615,102382,10132,Actor,Donald Menken
616,102382,13242,Actor,Aleksei Sytsevich / The Rhino (Uncredited)
617,102382,35,Actor,Aunt May
618,102382,558928,Actor,Young Peter Parker
619,102382,72855,Actor,Felicia Hardy
620,102382,20982,Actor,Dr. Ashley Kafka
621,102382,2955,Actor,Norman Osborn
622,102382,107770,Actor,Allistar Smythe
623,102382,5724,Actor,Captain Stacy
624,102382,87742,Director,
625,20526,9828,Actor,Sam Flynn
626,20526,1229,Actor,Kevin Flynn / Clu
627,20526,59315,Actor,Quorra
628,20526,2547,Actor,Alan Bradley / Tron
629,20526,60033,Actor,Siren
630,20526,86268,Actor,Siren
631,20526,20403,Actor,Gem
632,20526,130108,Actor,Siren
633,20526,22063,Actor,Jarvis
634,20526,86269,Actor,Young Mrs. Flynn
635,20526,58371,Actor,Sobel
636,20526,3968,Actor,Castor / Zuse
637,20526,109205,Actor,Young Sam
638,20526,37980,Actor,Green Light Cycle Rider
639,20526,67931,Actor,Masked DJ's
640,20526,86270,Director,
641,49013,887,Actor,Lightning McQueen (voice)
642,49013,15897,Actor,Mater (voice)
643,49013,3895,Actor,Finn McMissile (voice)
644,49013,1246,Actor,Holley Shiftwell (voice)
645,49013,1241,Actor,Francesco Bernoulli (voice)
646,49013,1926,Actor,Sir Miles Axlerod (voice)
647,49013,3491,Actor,Professor Z (voice)
648,49013,3266,Actor,Grem (voice)
649,49013,31514,Actor,Acer (voice)
650,49013,11357,Actor,"Rod ""Torque"" Redline (voice)"
651,49013,4252,Actor,Luigi (voice)
652,49013,942993,Actor,Darrell Cartrip (voice)
653,49013,15898,Actor,Guido (voice)
654,49013,188559,Actor,Brent Mustangburger (voice)
655,49013,11355,Actor,Siddeley / Leland Turbo (voice)
656,49013,7879,Director,
657,49013,32532,Director,
658,44912,10859,Actor,Hal Jordan / Green Lantern
659,44912,59175,Actor,Carol Ferris
660,44912,133,Actor,Hector Hammond
661,44912,504,Actor,Senator Hammond
662,44912,2983,Actor,Sinestro
663,44912,7242,Actor,Abin Sur
664,44912,109942,Actor,Carol Ferris at 11
665,44912,4602,Actor,Martin Jordan
666,44912,27107,Actor,Jack Jordan
667,44912,147719,Actor,Jim Jordan
668,44912,147720,Actor,Jason Jordan
669,44912,60887,Actor,Janice Jordan
670,44912,9780,Actor,Dr. Amanda Walker
671,44912,55934,Actor,Tom Kalmaku
672,44912,61981,Actor,Kilowog (voice)
673,44912,10702,Director,
674,10193,31,Actor,Woody (voice)
675,10193,12898,Actor,Buzz Lightyear (voice)
676,10193,13726,Actor,Lotso (voice)
