movie_id,revenue,runtime,vote_average,vote_count,budget
2486,249288105,104.0,4.9,967,100000000
16523,100086793,101.0,6.4,572,100000000
116711,268426634,102.0,6.4,1121,100000000
37710,278731369,103.0,6.0,1699,100000000
9946,211989043,121.0,5.5,482,100000000
1372,170877916,143.0,7.3,2281,100000000
106646,392000694,180.0,7.9,6571,100000000
414,336529144,121.0,5.2,1498,100000000
563,121214377,129.0,6.7,1560,105000000
83542,130482868,172.0,6.6,2977,102000000
41216,140073390,97.0,6.5,703,80000000
314,82102379,104.0,4.2,808,100000000
184315,243400000,99.0,5.6,1680,100000000
9016,109578115,95.0,7.2,948,140000000
18162,68688831,102.0,5.3,381,100000000
138103,206172544,127.0,6.1,1795,90000000
257088,133718711,114.0,5.5,783,105000000
10214,0,94.0,3.6,338,84000000
205775,93820758,122.0,6.5,1276,100000000
11692,7103973,95.0,4.4,142,100000000
22972,94882889,115.0,6.4,717,100000000
227973,246233113,88.0,6.5,604,99000000
29193,13835130,110.0,7.1,73,10000000
1734,433013274,130.0,6.0,2206,98000000
3131,193772504,167.0,7.1,1910,100000000
76758,95311434,145.0,7.1,187,94000000
9408,149044513,85.0,5.9,601,85000000
9890,102000000,93.0,5.4,334,90000000
855,172989651,144.0,7.2,1811,92000000
77953,104907746,85.0,5.6,578,0
18,263920180,126.0,7.3,3885,90000000
37786,288347692,146.0,5.4,426,100000000
10501,76432727,89.0,7.0,858,95000000
57800,877244782,88.0,6.2,2672,95000000
150689,543514353,105.0,6.7,2374,95000000
7980,93525586,136.0,6.6,1065,65000000
12,940335536,100.0,7.6,6122,94000000
122,1118888979,201.0,8.1,8064,94000000
121,926287400,179.0,8.0,7487,79000000
68737,114178613,102.0,5.2,957,95000000
1995,274703340,100.0,5.7,2192,115000000
157353,103039258,119.0,5.9,2295,100000000
331,368780809,92.0,5.7,2077,93000000
61791,482860185,105.0,7.0,4347,93000000
8204,162839667,95.0,6.3,572,90000000
47964,304654182,98.0,5.2,3493,92000000
10733,25819961,137.0,5.8,106,145000000
9806,631442092,115.0,7.4,5152,92000000
1408,10017322,119.0,5.7,136,98000000
32657,226497209,118.0,6.0,2010,95000000
607,589390539,98.0,6.9,4412,90000000
863,497366869,92.0,7.3,3806,90000000
44048,167805466,98.0,6.3,1165,100000000
5175,347325802,90.0,6.4,1054,90000000
2655,155464351,130.0,6.3,488,100000000
22794,242988466,90.0,6.5,1747,100000000
8355,886686817,94.0,6.5,2271,90000000
116745,188133322,114.0,7.0,3144,90000000
4327,264105545,98.0,5.6,1232,92000000
1422,289847354,151.0,7.9,4339,90000000
10674,304320254,88.0,7.6,2008,90000000
7446,188072649,107.0,6.5,1667,92000000
65754,232617430,158.0,7.2,2434,90000000
1572,366101666,128.0,6.9,2066,90000000
10528,524028679,128.0,7.0,5766,90000000
271969,94061311,125.0,5.3,621,100000000
